"GSR","BP","Pain"
15.8614,-0.1373,-0.0163
16.1871,-1.119,-0.0165
16.3939,-1.3255,-0.0185
16.334,0.1693,-0.0171
16.2344,1.6192,-0.0149
16.1457,4.6877,-0.0193
16.201,1.1385,-0.0177
16.9163,-6.7628,-0.017
17.9968,2.5461,-0.0209
19.2923,-2.2005,-0.0209
19.2522,1.9446,-0.0176
19.1178,-1.5881,-0.0176
19.9989,-0.0031,-0.0189
20.565,3.2849,-0.0171
20.4802,-1.7149,-0.0183
20.2612,1.1882,-0.0206
20.0721,1.2885,-0.0193
19.8341,0.4202,-0.0191
20.0086,-0.5537,-0.02
20.6685,4.7732,-0.0172
21.038,-2.2987,-0.0196
20.647,2.5063,-0.0188
20.2086,-1.1078,-0.0166
19.8724,0.0828,-0.0211
19.6777,0.2446,-0.0185
19.5008,4.8253,-0.0141
19.3644,-3.1832,-0.0188
19.726,1.5977,-0.0185
20.6524,-3.131,-0.019
20.5105,4.9943,-0.0196
20.2502,1.0593,-0.0181
20.1664,-1.0845,-0.0166
20.036,-0.6238,-0.0181
20.4966,-1.3766,-0.0159
21.0498,5.6684,-0.0159
20.8932,-1.4049,-0.0209
21.038,-1.8121,-0.0197
20.9762,2.6628,-0.0184
20.607,4.9785,-0.0196
20.3094,-2.5287,-0.0224
20.1484,-0.1152,-0.0188
20.041,-0.0331,-0.0192
20.1357,-2.1022,-0.019
20.4133,-1.3405,-0.0166
20.3522,5.6517,-0.0173
20.1144,-0.8746,-0.018
19.9157,-1.8745,-0.0181
19.731,12.1344,-0.0173
19.6605,-5.6093,-0.018
19.4607,0.632,-0.0194
19.3304,-2.5598,-0.0213
19.4365,-2.772,-0.0185
19.5174,6.4695,-0.0188
19.7797,-5.9112,-0.0196
20.1866,-2.0832,-0.0189
20.8966,-2.2293,-0.0209
21.2719,4.6393,-0.0184
20.9563,-0.4566,-0.0152
20.5611,-2.7178,-0.0196
21.0661,4.2265,-0.0179
21.4152,-2.0544,-0.0192
21.0034,-1.4378,-0.0192
21.2125,1.3399,-0.018
21.2205,-0.0976,-0.0184
20.8829,1.4378,-0.0184
20.9429,1.9187,-0.0195
21.0094,-2.9072,-0.0211
21.0659,-4.4713,-0.0225
21.226,-2.8063,-0.0197
21.394,4.1765,-0.0218
21.1686,0.4506,-0.0169
20.898,-1.7473,-0.0196
21.162,0.5114,-0.0186
21.1298,15.6264,-0.0193
20.9501,-3.7433,-0.0185
21.5796,-4.5758,-0.0218
22.4623,5.3417,-0.0211
23.0212,0.3145,-0.0194
24.0719,20.2003,-0.0217
24.036,-10.6705,-0.0169
23.8783,-0.6631,-0.0182
23.696,-3.4171,-0.017
23.2816,-14.8179,-0.0189
23.3072,-0.7891,-0.0191
24.6929,4.2219,-0.0171
25.6317,-1.3924,-0.019
25.3494,2.8725,-0.0192
26.1825,-1.2925,-0.0147
26.7096,-4.6018,-0.0195
25.9987,1.5209,-0.0228
25.427,9.5594,-0.0147
25.0992,3.554,-0.0148
24.9168,-4.2121,-0.0207
25.0862,-0.7639,-0.0199
25.6938,4.7638,-0.0179
27.0971,-0.8089,-0.0173
27.4547,-2.424,-0.0187
27.4303,5.4447,-0.0189
27.4522,-0.5209,-0.0199
28.1325,-3.9957,-0.0191
29.1493,0.504,-0.0217
29.4196,5.8165,-0.0206
29.5908,-0.444,-0.0186
29.8566,-0.4357,-0.0208
30.3644,1.4115,-0.0175
30.5778,-2.0177,-0.0194
30.3855,-5.5667,-0.0203
30.2271,6.6169,-0.0184
30.4781,-3.241,-0.0209
30.7349,0.3599,-0.0205
30.611,-1.1949,-0.023
31.0716,3.1323,-0.0211
31.8909,-2.2735,-0.0208
32.2076,-3.7559,-0.0212
31.9183,-0.6353,-0.0224
31.432,-1.8597,-0.0239
31.345,-0.409,-0.0198
31.6278,1.5927,-0.0195
32.4079,3.5642,-0.0212
32.0613,0.5833,-0.0188
31.54,3.1305,-0.0215
31.1838,-0.9692,-0.0206
30.957,-1.081,-0.0209
31.0454,3.0655,-0.0218
31.1661,-1.6378,-0.0206
30.9239,-1.0252,-0.0216
30.5843,-1.1762,-0.0169
30.3338,-2.395,-0.0181
30.6463,-4.5805,-0.0201
31.2594,0.3722,-0.1187
31.2646,-4.0146,-0.4646
30.9289,1.5719,-0.4771
30.7613,14.0116,-0.4742
30.8276,2.9163,-0.4775
30.8319,-2.7256,-0.4765
31.2846,2.108,-0.476
31.1756,-2.7446,-0.4773
31.1959,5.491,-0.4753
31.5234,-2.3899,-0.4761
31.6229,2.4473,-0.4744
32.2156,1.5322,-0.4728
32.4344,-1.8426,-0.4727
32.3857,-2.1651,-0.4749
32.3429,-1.9204,-0.4751
32.2281,5.0361,-0.4745
31.9764,-2.0463,-0.4729
31.6459,2.186,-0.4728
31.3537,-3.4075,-0.4734
31.4494,6.3462,-0.4753
32.0611,-1.307,-0.4734
31.9363,2.0488,-0.4737
31.5785,-4.8598,-0.4715
31.2355,0.1721,-0.4713
30.9474,6.6845,-0.4733
30.7861,-5.5903,-0.4699
30.6814,1.5828,-0.4724
30.8215,1.2382,-0.4747
30.9723,-1.4627,-0.4744
30.8038,2.4489,-0.4752
30.5181,-2.1473,-0.476
30.4713,-1.8267,-0.4731
31.4333,-2.0637,-0.471
32.1758,-0.9162,-0.4716
31.8551,0.2181,-0.4713
31.4156,3.8079,-0.4725
31.1329,-1.4278,-0.4688
30.9887,1.2541,-0.4683
31.2346,-1.3557,-0.4722
31.5584,-1.4248,-0.4697
31.629,2.7573,-0.4728
31.7881,-0.7498,-0.4723
31.9162,-1.5571,-0.4722
31.7757,1.7857,-0.4692
31.8691,0.2472,-0.4702
31.9645,-0.1266,-0.4698
31.7902,-0.1222,-0.4704
31.5862,1.0325,-0.471
31.5024,-0.9878,-0.4693
31.3955,-0.3141,-0.4695
31.2563,6.1042,-0.4715
31.1943,-2.4087,-0.4687
31.2703,1.3854,-0.4695
31.4134,-1.2299,-0.4662
31.458,-1.7835,-0.4697
31.6051,-1.1423,-0.4693
32.0221,-1.5454,-0.4682
31.9804,-2.2529,-0.4686
31.6241,-0.4542,-0.4711
31.3681,-0.1667,-0.4719
31.3857,3.1898,-0.4729
31.2893,1.8005,-0.4716
31.0406,1.0381,-0.4723
30.7936,-0.4513,-0.4702
30.6021,-1.7746,-0.4711
30.4201,-0.7165,-0.4707
30.3293,-0.1095,-0.4702
30.4698,0.9328,-0.4741
30.6136,3.8801,-0.4738
31.0987,-2.437,-0.4706
31.7928,-0.2524,-0.4726
32.3326,2.2297,-0.4719
32.8165,-0.1332,-0.4717
32.6875,-1.9164,-0.4711
32.4317,1.6889,-0.4716
32.3101,7.3184,-0.4687
32.0992,-10.551,-0.469
32.1656,-0.612,-0.4684
32.4463,-2.201,-0.4686
32.5909,4.3782,-0.4686
32.7253,-1.7626,-0.4716
32.6784,-2.2973,-0.471
32.4181,1.9799,-0.4721
32.2217,-1.7814,-0.4701
32.4568,2.6398,-0.4698
32.6418,-0.4238,-0.4695
32.3641,1.6894,-0.4717
32.0094,5.0443,-0.4679
31.7508,-2.9462,-0.4712
31.7071,-0.0034,-0.4729
31.5892,6.8475,-0.4739
31.3475,-5.6017,-0.471
31.1374,0.7872,-0.4709
30.9842,-1.8213,-0.4724
30.9692,-2.2549,-0.4726
31.0541,-0.7674,-0.4699
31.1184,3.076,-0.4722
31.2807,-0.287,-0.4691
31.1848,1.3031,-0.4721
30.951,-2.2743,-0.4697
30.8145,0.0562,-0.4718
30.6695,8.8564,-0.4714
30.4885,-3.8944,-0.4713
30.3089,-0.1003,-0.4733
30.1873,-5.3099,-0.4732
30.547,0.2155,-0.4724
31.8731,4.1857,-0.4693
32.9902,-1.8469,-0.4738
33.2642,-0.8708,-0.4734
33.829,2.7289,-0.4715
