,"GSR","BP","VAS"
276,21.2112,-4.7639,-0.0262
277,20.5272,7.3116,-0.0233
278,20.8749,-0.4782,-0.0292
279,21.9422,3.0103,-0.0263
280,20.8773,-4.5476,-0.0225
281,20.1762,0.8709,-0.0245
282,21.6703,-0.023,-0.0294
283,20.8303,6.8861,-0.024
284,20.5404,-4.7081,-0.0279
285,20.5972,-1.8574,-0.0254
286,19.9077,0.7487,-0.0273
287,19.6783,-2.6895,-0.0248
288,19.6354,6.378,-0.024
289,19.4451,0.0026,-0.0252
290,19.1758,-1.2741,-0.0268
291,19.0196,-3.0648,-0.0269
292,18.9098,6.5935,-0.0249
293,18.772,-1.471,-0.0255
294,18.629,0.3085,-0.0265
295,18.609,4.4332,-0.0253
296,18.4667,-1.2484,-0.0253
297,18.413,-2.9274,-0.0273
298,18.3711,7.5776,-0.0271
299,18.2546,-3.8502,-0.026
300,18.1657,-1.5827,-0.0273
301,18.7576,3.7075,-0.0265
302,19.4357,-3.6799,-0.0271
303,18.8056,5.8834,-0.0259
304,19.819,-0.5842,-0.0254
305,19.9711,-4.8701,-0.0276
306,19.0075,6.9055,-0.0253
307,18.7406,-2.0947,-0.0247
308,18.6394,-3.5272,-0.0256
309,19.7169,6.8678,-0.0294
310,19.4785,-1.2529,-0.0265
311,18.6916,-4.177,-0.029
312,19.6988,7.407,-0.0275
313,20.7671,-3.2815,-0.0262
314,19.4575,-3.2595,-0.0253
315,18.9241,7.6994,-0.0267
316,18.5377,-2.3325,-0.0273
317,18.3284,-4.7788,-0.0265
318,18.3017,8.3883,-0.027
319,18.6585,-3.4913,-0.0277
320,18.339,-3.6311,-0.0289
321,17.9969,4.0346,-0.0262
322,17.8123,-1.1529,-0.0273
323,17.3568,0.1137,-0.0267
324,17.8263,-3.5285,-0.025
325,19.9663,5.1719,-0.0262
326,21.5389,-3.2489,-0.0278
327,21.416,0.6137,-0.0274
328,21.3369,5.6102,-0.027
329,20.5062,-4.1112,-0.0268
330,20.5683,-0.897,-0.0244
331,19.7344,0.9822,-0.0235
332,19.2523,0.8742,-0.0248
333,19.0805,-2.1438,-0.0253
334,18.8149,4.8829,-0.0262
335,19.3887,2.72,-0.0248
336,19.8133,-8.4183,-0.0258
337,20.1357,4.4824,-0.0258
338,20.7263,-2.5418,-0.0266
339,20.9946,5.7415,-0.0276
340,19.807,-4.6595,-0.0286
341,19.5451,4.1499,-0.027
342,19.4396,-1.7952,-0.0292
343,19.1972,-2.2403,-0.0285
344,19.4742,3.8439,-0.0263
345,20.1053,-1.3289,-0.0253
346,19.356,6.289,-0.0255
347,19.0096,-2.9578,-0.026
348,19.4044,-3.2574,-0.0238
349,19.9264,0.9695,-0.0228
350,19.1697,-1.8267,-0.0257
351,18.8716,4.3687,-0.026
352,18.8117,-1.4209,-0.0269
353,18.9754,6.6193,-0.028
354,20.8786,0.2853,-0.0247
355,20.427,-4.6459,-0.0256
356,20.0646,0.9549,-0.0235
357,20.9206,-4.952,-0.0236
358,20.9628,0.2613,-0.023
359,20.045,-1.5978,-0.025
360,19.5736,6.0653,-0.0253
361,19.6538,-1.0973,-0.025
362,19.9936,4.927,-0.0225
363,19.7646,-1.67,-0.0234
364,19.5102,-1.7839,-0.0268
365,19.1276,-1.9887,-0.0244
366,18.7984,-2.3744,-0.0263
367,18.7069,6.177,-0.0236
368,18.7106,-2.4488,-0.024
369,19.962,-3.0528,-0.0246
370,20.1812,7.385,-0.024
371,20.9334,-3.8476,-0.0248
372,21.5499,4.2361,-0.0251
373,20.4689,-1.1122,-0.0232
374,19.7209,-5.2339,-0.0231
375,19.3428,5.0756,-0.0234
376,19.3907,-2.381,-0.0227
377,19.7468,8.404,-0.025
378,19.8995,-1.8822,-0.0244
379,20.0876,-0.3681,-0.0259
380,20.2804,-4.3965,-0.0272
381,22.0244,1.572,-0.0257
382,20.9143,-2.6324,-0.0241
383,19.9822,1.2132,-0.0262
384,19.5418,-1.3001,-0.0247
385,20.1487,-2.0716,-0.0242
386,20.9138,1.5878,-0.0246
387,21.8129,2.3193,-0.0257
388,19.7214,-1.6111,-0.0261
389,19.071,-3.1552,-0.0266
390,20.0434,2.1002,-0.0266
391,19.2214,0.1245,-0.0223
392,20.9438,2.5124,-0.0242
393,20.6893,-1.3704,-0.0246
394,19.1777,0.7293,-0.0262
395,18.6946,0.3369,-0.0262
396,18.414,-2.9548,-0.0247
397,18.2181,4.8241,-0.0252
398,18.9207,-2.5403,-0.0237
399,19.9888,1.6501,-0.0239
400,18.9677,-3.4481,-0.0213
401,19.4771,1.737,-0.0266
402,20.5867,-1.1765,-0.0262
403,20.3676,2.5228,-0.0262
404,20.8077,-2.733,-0.0263
405,19.6765,3.801,-0.0254
406,19.5004,-1.5845,-0.0245
407,20.9507,2.6758,-0.0222
408,20.556,-3.0805,-0.024
409,20.0194,2.5267,-0.0247
410,19.7313,-1.2022,-0.0251
411,19.5556,3.0645,-0.0228
412,19.6405,-2.5983,-0.0255
413,21.6803,1.445,-0.0223
414,21.4492,-5.6486,-0.0247
415,20.9949,1.7583,-0.0244
416,20.7492,1.0722,-0.0237
417,20.732,-1.2205,-0.0269
418,20.6411,3.7535,-0.0244
419,20.252,-2.1255,-0.0236
420,20.002,4.321,-0.0245
421,19.5698,-4.134,-0.0219
422,19.8403,4.6048,-0.0219
423,19.848,-5.1948,-0.0282
424,19.7013,2.0745,-0.025
425,19.9852,-3.8331,-0.0243
426,19.3962,3.3114,-0.0257
427,20.5102,-0.9503,-0.0255
