"Time","GSR","BP","VAS"
317,12.6718,-3.9783,-0.0219
318,13.1222,-3.3094,-0.0232
319,12.6148,3.438,-0.02
320,12.1475,-0.0357,-0.0223
321,11.9664,6.1356,-0.0239
322,12.6988,-4.8144,-0.0246
323,13.4341,-1.5564,-0.0229
324,13.9084,-0.0803,-0.0221
325,13.6024,0.9143,-0.0265
326,12.8344,-0.378,-0.0213
327,12.3207,2.6555,-0.0209
328,12.3959,-0.6594,-0.0253
329,12.8697,-2.1773,-0.0243
330,13.5899,1.2134,-0.0194
331,14.3291,-1.2173,-0.0234
332,14.1988,-1.4737,-0.0216
333,13.6611,0.9417,-0.0193
334,13.3972,-1.446,-0.0232
335,12.8659,2.2362,-0.0221
336,12.2581,-1.1266,-0.0193
337,11.9699,3.9033,-0.0231
338,12.3689,-0.8543,-0.0188
339,13.353,0.8118,-0.0236
340,12.9567,-2.801,-0.0215
341,12.4432,2.1221,-0.0227
342,12.2695,-0.7772,-0.0218
343,12.1476,3.2865,-0.024
344,12.0618,-1.6661,-0.0237
345,12.2462,4.0604,-0.0184
346,12.4865,-3.9777,-0.0204
347,12.5705,2.5622,-0.0232
348,12.5751,-1.4306,-0.0206
349,12.3536,4.9335,-0.0235
350,12.5079,-2.1649,-0.0225
351,13.2144,3.3472,-0.0249
352,13.4519,-3.4316,-0.0237
353,12.923,4.4925,-0.0256
354,12.4404,-2.7972,-0.0221
355,12.2008,3.8038,-0.0207
356,12.4145,-1.472,-0.0209
357,13.6613,3.1036,-0.0236
358,13.5513,3.7334,-0.0219
359,13.12,-4.5307,-0.0235
360,12.5712,4.0491,-0.0228
361,12.3119,-4.6609,-0.0237
362,12.2536,3.6312,-0.0209
363,12.3781,-3.8965,-0.0216
364,12.5555,2.1174,-0.0229
365,12.5468,2.9043,-0.0246
366,12.463,-1.8899,-0.0241
367,13.106,2.8574,-0.0236
368,13.3166,-2.0711,-0.0213
369,13.3641,1.5569,-0.0232
370,13.554,2.0875,-0.0251
371,13.4887,-3.8894,-0.0215
372,13.939,2.7052,-0.0222
373,13.5608,-5.9694,-0.0227
374,13.0315,3.9427,-0.0247
375,13.1228,-4.1264,-0.0213
376,13.7604,3.0437,-0.0239
377,14.4979,1.581,-0.0168
378,14.6702,-4.7713,-0.024
379,14.5432,1.5617,-0.0189
380,13.9569,-2.1869,-0.018
381,14.4527,-2.1956,-0.0243
382,14.4714,1.5866,-0.0214
