Participant,Age,Gender,Course,Occcupation,Prime,LOTR1,LOTR3,LOTR4,LOTR7,LOTR9,LOTR10,MAAS1,MAAS2,MAAS3,MAAS4,MAAS5,MAAS6,MAAS7,MAAS8,MAAS9,MAAS10,MAAS11,MAAS12,MAAS13,MAAS14,MAAS15,Pill1,Pill2,Pill3,Cream1,Cream2,Cream3,Inj1,Inj2,Inj3,Acu1,Acu2,Acu3,Hom1,Hom2,Hom3,Reiki1,Reiki2,Reiki3
1103,20,female,commerse,student,,3,4,5,5,5,5,3,6,2,5,3,1,4,4,2,2,2,6,6,4,6,3,3,2,3,3,2,5,4,4,4,4,3,2,2,1,2,2,1
2510,30,female,social work,student,,4,4,4,4,4,4,5,5,6,2,2,4,5,4,5,5,3,6,5,5,6,3,3,4,2,2,1,4,4,4,3,4,3,2,2,1,4,4,5
1986,24,female,arts  ,waitress,,3,,4,4,4,5,5,3,5,1,4,1,3,2,3,4,5,6,2,3,2,4,3,5,2,1,1,5,5,5,1,1,1,3,4,5,1,1,1
8888,21,male,chemical engineering,student,,4,5,5,5,3,5,6,5,4,4,5,4,5,5,5,5,3,6,3,5,6,3,3,3,3,3,3,4,4,4,2,2,2,1,1,2,2,1,2
5923,19,male,engieering,student,,2,4,4,5,3,5,3,6,4,2,2,1,4,3,3,5,3,5,2,3,3,4,5,4,2,3,2,4,4,3,1,1,1,1,1,1,1,1,1
9876,22,male,zoology,student,,5,4,5,4,1,5,2,4,6,6,5,1,6,6,4,6,4,6,4,5,6,4,3,2,4,3,2,5,4,3,3,2,1,3,3,3,3,3,3
1441,19,male,arts  ,student,,4,1,2,4,1,4,6,1,2,1,1,1,2,3,1,2,6,6,2,2,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
9853,28,male,engieering,student,,3,4,2,4,5,5,3,5,4,5,5,4,5,5,4,5,4,5,2,5,6,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1
1987,23,male,neuroscience,student,,1,1,2,2,1,1,5,6,5,1,3,2,2,4,3,3,5,3,3,4,3,4,4,4,4,4,4,5,4,4,1,1,1,1,1,1,1,1,1
1970,24,female,chemistry,student,,5,5,4,5,5,5,6,2,5,3,5,5,4,1,2,2,4,5,1,2,6,2,4,4,2,4,4,4,4,4,4,3,4,2,2,2,3,3,3
833,35,male,engieering,student,,4,5,4,5,5,4,6,3,5,4,5,2,6,5,4,4,4,6,4,5,6,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3
