"Me","Improving","Them","Participant","Worse","BlockTime","Theirs","Failing","Mine","Sad","Better","Disimproving","Myself","Succeeding","Time","Date","Themselves","Correct","Block","Happy"
802,"NA",2354," 0007","NA"," 14160",1300.33333333,"NA",1114,"NA","NA","NA",1035,"NA"," 16:18:08","08/03/2011",1001.5,11,"Block 1:","NA"
"NA",878,"NA"," 0007",733," 13201","NA",1488.5,"NA",935.333333333,1499,"NA","NA",824," 16:18:08","08/03/2011","NA",12,"Block 2:",1107
1175,"NA","NA"," 0007",2629.5," 41742",841.666666667,778.5,1177,906.666666667,889.5,945,863.75,1926.66666667," 16:18:08","08/03/2011",797.333333333,33,"Block 3:",1389.8
903.25,"NA",630," 0007","NA"," 10129",607,"NA",671,"NA","NA","NA",604,"NA"," 16:18:08","08/03/2011",1133.33333333,11,"Block 4:","NA"
890.333333333,2163,1173.25," 0007",2073," 60840",1751.75,2517.33333333,1628.4,1365.75,1220.5,2441,656,"NA"," 16:18:08","08/03/2011",2001.33333333,28,"Block 5:",2489
1222.66666667,"NA","NA"," 0234","NA"," 22249",2247.5,"NA",1154.5,"NA","NA","NA",2579.5,"NA"," 13:22:16","08/04/2011",1459,12,"Block 1:","NA"
"NA",998,"NA"," 0234",1067," 20591","NA",684,"NA","NA","NA",4058.66666667,"NA","NA"," 13:22:16","08/04/2011","NA",11,"Block 2:",883
1505.4,682.5,639," 0234","NA"," 39752",1353.4,522,645,2160.66666667,712.5,1308.5,713.333333333,1795.5," 13:22:16","08/04/2011",755,34,"Block 3:",584
438,"NA",515.5," 0234","NA"," 17930",1775.5,"NA",1816,"NA","NA","NA",2736,"NA"," 13:22:16","08/04/2011",535,10,"Block 4:","NA"
1493.75,821,1047," 0234",2214," 44846",1022,1553.5,852.6,1249.83333333,"NA",1916.33333333,914,"NA"," 13:22:16","08/04/2011",568,32,"Block 5:",1189
1067,"NA",747.666666667," 0317","NA"," 11570",940.666666667,"NA",812.666666667,"NA","NA","NA","NA","NA"," 14:47:03","18/01/2011",1933,12,"Block 1:","NA"
"NA",763.5,"NA"," 0317","NA"," 13106","NA",823,"NA",1238.33333333,679,"NA","NA",796," 14:47:03","18/01/2011","NA",11,"Block 2:",1581
815.25,867.666666667,770.25," 0317",797.5," 33495",1089.5,1551.33333333,896.333333333,708,1126.5,1055,855.333333333,645," 14:47:03","18/01/2011",819.2,35,"Block 3:","NA"
742,"NA",930," 0317","NA"," 10305",760.666666667,"NA",1290.5,"NA","NA","NA",709.333333333,"NA"," 14:47:03","18/01/2011",900,12,"Block 4:","NA"
769,795,"NA"," 0317",989.5," 37543",1144.83333333,799.25,1143,1059,1725,1488,1293.5,758," 14:47:03","18/01/2011",809.4,34,"Block 5:",1293.33333333
582.5,"NA",1054," 0405","NA"," 9221",1226,"NA",673,"NA","NA","NA",578.5,"NA"," 12:19:13","09/03/2011","NA",12,"Block 1:","NA"
"NA",733.5,"NA"," 0405",946," 9282","NA",1075,"NA","NA",698.5,572,"NA",700," 12:19:13","09/03/2011","NA",12,"Block 2:",616.5
591,769.5,1051.33333333," 0405",931," 30094",1170,1012,895.8,660,835,726,572,841.5," 12:19:13","09/03/2011",749,34,"Block 3:",745
622.5,"NA",1173.66666667," 0405","NA"," 9453",585.5,"NA",778,"NA","NA","NA",592,"NA"," 12:19:13","09/03/2011",684,11,"Block 4:","NA"
707,1163.5,"NA"," 0405",1793," 48170",1957.75,1267,1095.75,1113,1321,1873,1164.33333333,1194," 12:19:13","09/03/2011",1223.5,29,"Block 5:",1520
624,"NA",970.75," 0473","NA"," 11125","NA","NA",579.5,"NA","NA","NA","NA","NA"," 12:23:46","04/04/2011",1208.75,12,"Block 1:","NA"
"NA",1605.33333333,"NA"," 0473","NA"," 12162","NA",915,"NA",715,859,864,"NA",738," 12:23:46","04/04/2011","NA",11,"Block 2:",840.5
717,1333.25,881," 0473",854," 32542",676.333333333,732.25,869,1028,1047,"NA",973.75,619," 12:23:46","04/04/2011",1327,35,"Block 3:","NA"
657,"NA",660.666666667," 0473","NA"," 10913",1326.5,"NA",870,"NA","NA","NA",562,"NA"," 12:23:46","04/04/2011",666,12,"Block 4:","NA"
1273.66666667,1129,1107.33333333," 0473",1256," 49273",2068.66666667,1215.33333333,756,1560.66666667,1222,1084.5,658,"NA"," 12:23:46","04/04/2011",1168.66666667,24,"Block 5:",2255
1052,"NA",1118," 0606","NA"," 13957","NA","NA","NA","NA","NA","NA",1153.5,"NA"," 12:20:04","16/03/2011",1416.5,12,"Block 1:","NA"
"NA",862.5,"NA"," 0606",557," 8116","NA",598,"NA",483,784,622,"NA",639," 12:20:04","16/03/2011","NA",12,"Block 2:",518
640,"NA",779," 0606",676," 40171",1209.33333333,3796,753.833333333,602,665,962.333333333,1080,1450.66666667," 12:20:04","16/03/2011",541,34,"Block 3:",526
491,"NA",981.4," 0606","NA"," 8917",640,"NA",601,"NA","NA","NA",564,"NA"," 12:20:04","16/03/2011",549,12,"Block 4:","NA"
1030.5,976.25,660.5," 0606","NA"," 39253",875.833333333,"NA",1108.66666667,1067.5,1293,2471,1125.66666667,779," 12:20:04","16/03/2011",1560.33333333,34,"Block 5:",1239
542.333333333,"NA",573.5," 0705","NA"," 6904",597,"NA",693,"NA","NA","NA",515,"NA"," 16:20:08","30/03/2011",576,12,"Block 1:","NA"
"NA",744,"NA"," 0705",767," 12744","NA",984,"NA",1498.5,686,863,"NA",1055," 16:20:08","30/03/2011","NA",11,"Block 2:",1340
1082.8,1068.33333333,666.5," 0705",873.5," 34068",820,890.333333333,656.8,1934,604,758,737.666666667,"NA"," 16:20:08","30/03/2011",1783.66666667,35,"Block 3:","NA"
626,"NA",1766.66666667," 0705","NA"," 11352",723,"NA",674,"NA","NA","NA",645,"NA"," 16:20:08","30/03/2011",677.5,12,"Block 4:","NA"
684,803,697.5," 0705","NA"," 32380",653,720.333333333,635,727,1777.5,1492,1225,832.5," 16:20:08","30/03/2011",769,36,"Block 5:",747.333333333
"NA","NA",686.5," 0833","NA"," 9258",851.333333333,"NA",576.666666667,"NA","NA","NA",729,"NA"," 13:26:52","28/03/2011",957.333333333,12,"Block 1:","NA"
"NA",1189.66666667,"NA"," 0833",764," 12501","NA","NA","NA",1045,"NA",1032,"NA",1220.33333333," 13:26:52","28/03/2011","NA",12,"Block 2:",692.5
1177.55555556,1624,1505.5," 0833","NA"," 60460",1916,1824,987,1867.5,"NA",3063,1701.5,1706," 13:26:52","28/03/2011",2148.33333333,36,"Block 3:",1516.4
1802.66666667,"NA",903," 0833","NA"," 33351",8394,"NA",2067.5,"NA","NA","NA",1277.5,"NA"," 13:26:52","28/03/2011",1781,11,"Block 4:","NA"
864,1909,"NA"," 0833",1428.5," 71202",1098.8,4057.66666667,1961.75,1557.5,"NA",1103,2047,1780.5," 13:26:52","28/03/2011",2547.83333333,32,"Block 5:",2231
650,"NA",1112," 0856","NA"," 11224",1113.5,"NA",946.5,"NA","NA","NA",995,"NA"," 11:26:03","08/03/2011",902,12,"Block 1:","NA"
"NA","NA","NA"," 0856",1024," 9826","NA",588,"NA",665,666,867.5,"NA",1135.5," 11:26:03","08/03/2011","NA",12,"Block 2:",763
725,1160.66666667,1347.5," 0856",1109," 36647",611,867.25,1103,1082,615,964.5,685,1214.33333333," 11:26:03","08/03/2011",1056,36,"Block 3:",959.5
5062,"NA",1701.33333333," 0856","NA"," 42454",1373.5,"NA",4011,"NA","NA","NA","NA","NA"," 11:26:03","08/03/2011",7384,8,"Block 4:","NA"
2116.75,1594.33333333,2210," 0856",1058," 62955",2012.5,1845,2140,1199,"NA",1105,1760.5,1074," 11:26:03","08/03/2011",2575,35,"Block 5:",1367.66666667
1167,"NA",987," 1004","NA"," 16946",1574.5,"NA",874,"NA","NA","NA",1142.5,"NA"," 13:23:09","05/04/2011",2084,12,"Block 1:","NA"
"NA",848,"NA"," 1004","NA"," 12477","NA",1255,"NA",1059.33333333,957,1043.66666667,"NA",1036," 13:23:09","05/04/2011","NA",12,"Block 2:","NA"
779,1071,4310.75," 1004",1553," 47491","NA","NA",820.5,1033,792.25,613,833.75,731," 13:23:09","05/04/2011",1122.25,35,"Block 3:",1001.83333333
1448,"NA","NA"," 1004","NA"," 10255",668.5,"NA",556,"NA","NA","NA",928,"NA"," 13:23:09","05/04/2011",670.5,11,"Block 4:","NA"
1301.8,1156,1973," 1004",2103.5," 60733",2403,1343.5,1584.25,2594,823,2642.5,937,1026.5," 13:23:09","05/04/2011",1641,32,"Block 5:",1812
781.2,"NA",832.5," 1011","NA"," 9212",713,"NA",570,"NA","NA","NA",894,"NA"," 13:24:40","21/03/2011","NA",12,"Block 1:","NA"
"NA",688.666666667,"NA"," 1011",751.5," 9355","NA",1330,"NA",544,"NA","NA","NA",653.666666667," 13:24:40","21/03/2011","NA",12,"Block 2:",621
600.5,612.5,996.5," 1011",795," 34543",1038,946.666666667,822,760.666666667,872,1087,1145.33333333,1576," 13:24:40","21/03/2011",969.5,31,"Block 3:",651
1464.5,"NA",865," 1011","NA"," 11156",932.666666667,"NA",1185,"NA","NA","NA",608,"NA"," 13:24:40","21/03/2011",649,8,"Block 4:","NA"
648.25,923.5,831.666666667," 1011",605," 32153",846.833333333,756.4,"NA",989,603,1241,925.666666667,734.5," 13:24:40","21/03/2011",2353.5,30,"Block 5:",523
459.5,"NA",501," 1101","NA"," 6333",536.333333333,"NA",505.5,"NA","NA","NA",759,"NA"," 12:15:07","24/01/2011",523,12,"Block 1:","NA"
"NA",1182,"NA"," 1101",556.5," 8493","NA",643.5,"NA",661,551,474,"NA",1047.5," 12:15:07","24/01/2011","NA",11,"Block 2:",469
700.5,"NA",886.5," 1101",709," 28125","NA",617,724.6,549,554.5,868.333333333,628.5,813," 12:15:07","24/01/2011",806.2,35,"Block 3:",1179.75
472,"NA",1003.5," 1101","NA"," 8790","NA","NA",754,"NA","NA","NA",572.25,"NA"," 12:15:07","24/01/2011",630.5,12,"Block 4:","NA"
611,770,972," 1101",597," 34498",740,2507,607.666666667,1032.33333333,723.5,889.2,2704.5,819.5," 12:15:07","24/01/2011",521.5,35,"Block 5:",822.25
982,"NA",1405.5," 1103","NA"," 38201",10084.5,"NA",968.5,"NA","NA","NA",3422.33333333,"NA"," 15:21:06","23/03/2011",1053,11,"Block 1:","NA"
"NA",1784.33333333,"NA"," 1103",870," 13975","NA","NA","NA",1058,"NA",974.75,"NA",868.5," 15:21:06","23/03/2011","NA",12,"Block 2:","NA"
878.333333333,781,835," 1103",974.666666667," 37913",828,1746.75,879,920,595,922,1612,756.5," 15:21:06","23/03/2011",1369.25,36,"Block 3:",773.333333333
555.333333333,"NA",1238," 1103","NA"," 16524",1197,"NA",674,"NA","NA","NA",6099,"NA"," 15:21:06","23/03/2011",1071.66666667,12,"Block 4:","NA"
1306.5,1979.5,2204," 1103",1451," 70516",1390.75,2257.5,1566.5,3769.33333333,3717,"NA",864,1762.5," 15:21:06","23/03/2011",1280,36,"Block 5:","NA"
517.333333333,"NA",674.666666667," 1209","NA"," 7283",706.5,"NA",590.666666667,"NA","NA","NA","NA","NA"," 13:53:08","23/03/2011",522,12,"Block 1:","NA"
"NA",641,"NA"," 1209",625.5," 9202","NA",594,"NA",817,"NA",1356.5,"NA",586," 13:53:08","23/03/2011","NA",12,"Block 2:",548
589.666666667,1002,916," 1209",1895.33333333," 30837",577.5,629,750.666666667,805,643.5,1092.5,578,"NA"," 13:53:08","23/03/2011",663,36,"Block 3:",1171.5
596.333333333,"NA",571.333333333," 1209","NA"," 9446",687,"NA","NA","NA","NA","NA",577.5,"NA"," 13:53:08","23/03/2011",1367,12,"Block 4:","NA"
1942,1048.5,1408.5," 1209",1151.33333333," 57998",1180,1255,1686.5,1773.5,1235.33333333,1607,960.5,2838," 13:53:08","23/03/2011",1212.5,33,"Block 5:",2623
498.5,"NA",986.5," 1212","NA"," 15236",798,"NA",544,"NA","NA","NA",625,"NA"," 15:21:01","22/03/2011",4293,11,"Block 1:","NA"
"NA",778,"NA"," 1212",612.5," 9041","NA",1709,"NA",951,553.5,773,"NA",573.333333333," 15:21:01","22/03/2011","NA",12,"Block 2:","NA"
"NA",998.5,826," 1212",1140.75," 35340",1288.33333333,678.333333333,1221.6,607,628,780,693,"NA"," 15:21:01","22/03/2011",1618.75,36,"Block 3:",706
533,"NA",585.5," 1212","NA"," 8613",694,"NA",448.5,"NA","NA","NA",645.5,"NA"," 15:21:01","22/03/2011",1400,12,"Block 4:","NA"
640,777.25,859," 1212",685," 44255",1940,1250.66666667,880.333333333,1459,2398,1158.5,747.5,577," 15:21:01","22/03/2011",2416.5,35,"Block 5:",1187.66666667
1071,"NA",1245.33333333," 1224","NA"," 20509",754,"NA",2623.66666667,"NA","NA","NA",2616,"NA"," 14:19:28","21/03/2011",774,11,"Block 1:","NA"
"NA",810,"NA"," 1224",592," 9894","NA",2869,"NA",519,719,686,"NA",641.5," 14:19:28","21/03/2011","NA",12,"Block 2:",513
610,1006,1094," 1224",813," 32881",889,902.75,1014,691.333333333,968.75,1152,715.166666667,732," 14:19:28","21/03/2011",1455,32,"Block 3:",621
473,"NA",766.333333333," 1224","NA"," 8909",587.333333333,"NA","NA","NA","NA","NA",560.5,"NA"," 14:19:28","21/03/2011",1390.5,12,"Block 4:","NA"
986,691,1532.4," 1224",1000," 44829",1118,1099.2,1668,1436.33333333,1071.5,1375,1160.66666667,1079," 14:19:28","21/03/2011",1092.5,30,"Block 5:",1782.33333333
899.5,"NA",851.666666667," 1234","NA"," 11503",836.5,"NA",881,"NA","NA","NA","NA","NA"," 16:21:22","05/04/2011",1952,12,"Block 1:","NA"
"NA",906,"NA"," 1234",834," 12201","NA",1242,"NA",1006,"NA","NA","NA",924," 16:21:22","05/04/2011","NA",12,"Block 2:",861.5
838,"NA",831," 1234",958," 36474",929.5,1033.5,797,1340,1567.4,997,877,892," 16:21:22","05/04/2011",949,36,"Block 3:",866.333333333
688,"NA",3361," 1234","NA"," 11576",811.25,"NA",776.666666667,"NA","NA","NA",665,"NA"," 16:21:22","05/04/2011",599,12,"Block 4:","NA"
814,1953.5,1100.5," 1234",875.75," 46383",1265,1213,1148.33333333,1056,2282.66666667,1333.5,718.5,1358," 16:21:22","05/04/2011",1587.5,36,"Block 5:",1478
497,"NA",591," 1243","NA"," 6933",559,"NA",561.5,"NA","NA","NA",714.666666667,"NA"," 16:51:52","18/01/2011",512.5,12,"Block 1:","NA"
"NA",597,"NA"," 1243",608.5," 9233","NA",549,"NA",605,1472,572,"NA",758.5," 16:51:52","18/01/2011","NA",12,"Block 2:",616
585,738.75,886," 1243",811," 31263",870.5,885.5,616.333333333,868,748,775.5,549,981.75," 16:51:52","18/01/2011",1227.33333333,36,"Block 3:",815.333333333
694,"NA",979.5," 1243","NA"," 11255",645,"NA",1526.66666667,"NA","NA","NA",667,"NA"," 16:51:52","18/01/2011",661,11,"Block 4:","NA"
1693.5,1054.5,725," 1243",1083," 43069",935.666666667,2518.5,1504,635,1603,1514,886.333333333,1023.5," 16:51:52","18/01/2011",622.5,30,"Block 5:",1513.5
733.5,"NA",1101.5," 1321","NA"," 10888",771,"NA",1001,"NA","NA","NA",1116.5,"NA"," 14:15:54","24/02/2011",720.5,11,"Block 1:","NA"
"NA",1079,"NA"," 1321","NA"," 11082","NA",999.666666667,"NA",870,962.333333333,990,"NA",742.5," 14:15:54","24/02/2011","NA",12,"Block 2:",772
1029.33333333,960.25,847.333333333," 1321",1178," 37382",896.5,1089.25,599,"NA",928.75,2149,1030.5,1042," 14:15:54","24/02/2011",747,33,"Block 3:",1534.66666667
1109.5,"NA",693," 1321","NA"," 9348",603.5,"NA",741.4,"NA","NA","NA",761,"NA"," 14:15:54","24/02/2011","NA",12,"Block 4:","NA"
724,1463.33333333,1087.5," 1321",1521.4," 45893",1263.6,1039.8,706.5,2079.5,843,"NA",1158,1858.5," 14:15:54","24/02/2011",1440,33,"Block 5:",1276
892.5,"NA",1912," 1358","NA"," 13027",675,"NA",946.666666667,"NA","NA","NA",823.5,"NA"," 16:37:29","29/03/2011",1128,12,"Block 1:","NA"
"NA","NA","NA"," 1358",884," 10163","NA",916.5,"NA",921.75,780,752.5,"NA",773," 16:37:29","29/03/2011","NA",12,"Block 2:",701
1710,1072,900," 1358",1620," 40849",817,1112,1489.25,908.5,1193.33333333,1215.5,729,828.5," 16:37:29","29/03/2011",975,33,"Block 3:",727.5
702,"NA",735.333333333," 1358","NA"," 12770",706,"NA",731,"NA","NA","NA",1468.5,"NA"," 16:37:29","29/03/2011",1585.66666667,11,"Block 4:","NA"
1204,916,1254," 1358",705," 39422",781.75,1060.66666667,"NA",753.2,1061.33333333,1882,1076,2000.66666667," 16:37:29","29/03/2011",1087.33333333,32,"Block 5:",1280.33333333
2851,"NA",2419.5," 1441","NA"," 35230",1915.66666667,"NA",2213,"NA","NA","NA",3937,"NA"," 14:19:32","25/03/2011",3902,2,"Block 1:","NA"
"NA",1239,"NA"," 1441",2003.66666667," 19152","NA",2718,"NA",655,983.5,2491,"NA",1465," 14:19:32","25/03/2011","NA",11,"Block 2:",1303
901.5,1175.33333333,1000," 1441","NA"," 47773",776,2487,2626.66666667,1499,1039,902.5,1037.66666667,1302.5," 14:19:32","25/03/2011",1755.75,33,"Block 3:",1340
825,"NA",680," 1441","NA"," 15981",2396.66666667,"NA",614,"NA","NA","NA",909.5,"NA"," 14:19:32","25/03/2011",1213.25,11,"Block 4:","NA"
718.75,1653,1058," 1441",930," 38766",683.5,986,837.2,1163,2407.66666667,799,1056.75,1285.5," 14:19:32","25/03/2011",803.5,32,"Block 5:",1979
1042.5,"NA",1544," 1580","NA"," 14672",1138.5,"NA",1233,"NA","NA","NA",1134.5,"NA"," 15:22:07","31/03/2011",1451,12,"Block 1:","NA"
"NA",1054,"NA"," 1580",1193," 13095","NA",1183.33333333,"NA",753,"NA",1235.33333333,"NA",878," 15:22:07","31/03/2011","NA",12,"Block 2:",907
798,1135.66666667,1076," 1580",1016," 37355",1024.6,"NA",1197,965,792,964.857142857,1068.33333333,1321.5," 15:22:07","31/03/2011",1047.66666667,36,"Block 3:",896.666666667
950.5,"NA","NA"," 1580","NA"," 11345",894,"NA",989.5,"NA","NA","NA",916,"NA"," 15:22:07","31/03/2011",947.8,12,"Block 4:","NA"
1048.25,1202.33333333,987.5," 1580",1610," 41410",1431.33333333,734,1068.5,2236.5,832.75,970,939,1104.5," 15:22:07","31/03/2011",758,36,"Block 5:",898
750.5,"NA",756.666666667," 1604","NA"," 9012",580,"NA",880.333333333,"NA","NA","NA","NA","NA"," 12:28:15","08/04/2011",673.333333333,12,"Block 1:","NA"
"NA",691,"NA"," 1604","NA"," 10517","NA",694,"NA",988.5,770,852,"NA",1163.33333333," 12:28:15","08/04/2011","NA",12,"Block 2:",674.5
1353,975.666666667,662," 1604",860," 34572",856.166666667,832,582.5,1355,1595.5,685.5,900,786.5," 12:28:15","08/04/2011",945.2,33,"Block 3:",868
1408,"NA",530," 1604","NA"," 11746",1066.33333333,"NA",1147.75,"NA","NA","NA","NA","NA"," 12:28:15","08/04/2011",672.666666667,11,"Block 4:","NA"
1158,2280,1235.2," 1604",1574.75," 47079",1419.5,"NA",675,1099,771.5,1034.33333333,1332,1517.75," 12:28:15","08/04/2011",1337,28,"Block 5:",776
991.666666667,"NA",1006," 1617","NA"," 20457",1282.5,"NA","NA","NA","NA","NA",1921,"NA"," 11:23:42","23/03/2011",3326,11,"Block 1:","NA"
"NA",696,"NA"," 1617",738," 12224","NA",645,"NA",782,1673,1058,"NA",888," 11:23:42","23/03/2011","NA",12,"Block 2:",808
546,859,663," 1617",637," 31200",1487.33333333,642.5,794,877.8,"NA",1200.75,602,737.333333333," 11:23:42","23/03/2011",895.5,32,"Block 3:",677
747.5,"NA",669," 1617","NA"," 14224",857,"NA",730,"NA","NA","NA",1392.5,"NA"," 11:23:42","23/03/2011",2054,10,"Block 4:","NA"
1279,1420,1398," 1617",1662," 51005",1068,2688,1692.66666667,1376.5,1125,1133.5,1068.8,1287," 11:23:42","23/03/2011",1440.5,35,"Block 5:","NA"
2245,"NA",832," 1717","NA"," 12491",725,"NA",749.5,"NA","NA","NA",815,"NA"," 11:21:28","08/04/2011",834,12,"Block 1:","NA"
"NA",1551.5,"NA"," 1717",631," 10495","NA","NA","NA",642,1048,714,"NA",634.25," 11:21:28","08/04/2011","NA",12,"Block 2:",1189
583.75,"NA",1010.75," 1717",579.5," 29413",542.333333333,1449,717.5,618.5,701.5,832,869,578," 11:21:28","08/04/2011",1106,35,"Block 3:",677.666666667
656.5,"NA",1973.5," 1717","NA"," 10447",629.666666667,"NA",739,"NA","NA","NA",624.5,"NA"," 11:21:28","08/04/2011",571,11,"Block 4:","NA"
2289.75,3485,2510.66666667," 1717",1962.33333333," 83334",2701,2231,1299.33333333,1995,2780.5,2897.5,2455,1971.25," 11:21:28","08/04/2011",1254.5,28,"Block 5:",3179.5
631,"NA",674," 1748","NA"," 8521",776,"NA",666.25,"NA","NA","NA",713,"NA"," 10:25:58","21/03/2011",783,9,"Block 1:","NA"
"NA",663,"NA"," 1748",676," 10039","NA",665,"NA",1056,726,1212,"NA",938," 10:25:58","21/03/2011","NA",12,"Block 2:","NA"
807.4,953.833333333,823," 1748",588.5," 28714",554,824,765.666666667,682,735.666666667,876,688.5,661," 10:25:58","21/03/2011",934.5,36,"Block 3:","NA"
413,"NA",527," 1748","NA"," 7108",530.333333333,"NA",458,"NA","NA","NA",441,"NA"," 10:25:58","21/03/2011",805,12,"Block 4:","NA"
465.2,947.5,663.8," 1748",586.5," 26984",710.333333333,1297.33333333,828,782,874,661,525,539," 10:25:58","21/03/2011",570,30,"Block 5:",1000.66666667
707,"NA",3165," 1810","NA"," 18126","NA","NA",703,"NA","NA","NA",839.333333333,"NA"," 12:17:32","01/03/2011",2154,11,"Block 1:","NA"
"NA","NA","NA"," 1810",833," 11106","NA",725,"NA",723.5,2002,"NA","NA",645," 12:17:32","01/03/2011","NA",10,"Block 2:",1223
866,1451,969.333333333," 1810",409," 37290",1268.8,724.75,945,1015,1796,818,994.5,821," 12:17:32","01/03/2011",1410.66666667,33,"Block 3:",842
530.333333333,"NA","NA"," 1810","NA"," 9449",532,"NA",1203,"NA","NA","NA",764,"NA"," 12:17:32","01/03/2011",729.666666667,11,"Block 4:","NA"
673,929,989," 1810",910," 45678",1048,779,1018,1233,1632,1103,956,2218.25," 12:17:32","01/03/2011",1848.75,31,"Block 5:",1437.66666667
649,"NA",1771.25," 1843","NA"," 16429",1652,"NA",972.333333333,"NA","NA","NA","NA","NA"," 13:26:59","07/04/2011",1375.33333333,9,"Block 1:","NA"
"NA",913,"NA"," 1843",744.333333333," 10979","NA",836.5,"NA",1368,"NA","NA","NA",684," 13:26:59","07/04/2011","NA",10,"Block 2:",913.5
587.666666667,"NA",596.666666667," 1843",953.666666667," 27891",898.8,764.75,585.5,776.666666667,542.5,1033.33333333,853,730.5," 13:26:59","07/04/2011",860,33,"Block 3:",743
651.8,"NA",796," 1843","NA"," 10359",1883,"NA",1251,"NA","NA","NA",639.666666667,"NA"," 13:26:59","07/04/2011","NA",11,"Block 4:","NA"
1248,1157,976.2," 1843",1691.75," 38536",880.666666667,"NA",1438.5,722.333333333,952,847.25,1665,1103.33333333," 13:26:59","07/04/2011",838.25,28,"Block 5:",1067
743.333333333,"NA",611.5," 1879","NA"," 8234",719,"NA",938,"NA","NA","NA","NA","NA"," 12:04:36","18/01/2011",562,11,"Block 1:","NA"
"NA","NA","NA"," 1879",1409," 7958","NA",622.5,"NA",562,549,609,"NA",647," 12:04:36","18/01/2011","NA",12,"Block 2:",589.5
678,1414,736.5," 1879",734.25," 26323",692,649.5,700.333333333,829.8,"NA",692.5,634.666666667,702.333333333," 12:04:36","18/01/2011",739,35,"Block 3:",651
1018,"NA",542," 1879","NA"," 8583",920,"NA",627,"NA","NA","NA",510,"NA"," 12:04:36","18/01/2011",469.5,11,"Block 4:","NA"
689,1062,1200," 1879",993," 35571",694,1355.16666667,651.5,1622,1220,1019,773.5,897.2," 12:04:36","18/01/2011",937,36,"Block 5:","NA"
1137.5,"NA",1146," 1903","NA"," 17934",1211,"NA","NA","NA","NA","NA",786,"NA"," 10:27:12","18/01/2011",2748,11,"Block 1:","NA"
"NA","NA","NA"," 1903",821," 9607","NA",946.666666667,"NA",682,731,844,"NA",738.5," 10:27:12","18/01/2011","NA",12,"Block 2:",637
840,1081.33333333,1229.66666667," 1903",714.6," 30464","NA",701,899,771,747.333333333,625,754,861.2," 10:27:12","18/01/2011",813.5,35,"Block 3:",831
554.5,"NA",874," 1903","NA"," 11780",1273,"NA",1497.5,"NA","NA","NA","NA","NA"," 10:27:12","18/01/2011",570,11,"Block 4:","NA"
1097,1528,2408," 1903",1072," 55454",998,1613.5,1415.25,1671.33333333,1155,2009,1177.25,1992.75," 10:27:12","18/01/2011",1657.66666667,36,"Block 5:",2159
749.333333333,"NA",820," 1911","NA"," 9697",693,"NA",1164.5,"NA","NA","NA",697.5,"NA"," 15:28:14","25/01/2011",696,12,"Block 1:","NA"
"NA",629,"NA"," 1911",733," 11651","NA",838,"NA",1262.5,1010,1203,"NA","NA"," 15:28:14","25/01/2011","NA",12,"Block 2:",668
668.4,947,2006.4," 1911",878.5," 43023",963.666666667,902,1187,790,1154,1314,938.666666667,1415," 15:28:14","25/01/2011",1808,35,"Block 3:",1446.5
667,"NA",1438," 1911","NA"," 13997","NA","NA",2096,"NA","NA","NA",915,"NA"," 15:28:14","25/01/2011",867.333333333,11,"Block 4:","NA"
1029.5,3749.5,1433," 1911",818," 60315",1960.66666667,1322,1666.8,1489.66666667,2116,1965.33333333,871.333333333,2124.5," 15:28:14","25/01/2011",819,36,"Block 5:","NA"
620,"NA",813," 1923","NA"," 11769",679.25,"NA",3426,"NA","NA","NA","NA","NA"," 12:30:04","18/03/2011",855.666666667,12,"Block 1:","NA"
"NA",792,"NA"," 1923",756.5," 8318","NA","NA","NA",502,772,621,"NA",580.666666667," 12:30:04","18/03/2011","NA",12,"Block 2:","NA"
552.5,731,755.333333333," 1923",609," 31271",670.5,536,1000.6,877,716,882,841.666666667,953," 12:30:04","18/03/2011",3309,35,"Block 3:",838
741.5,"NA",1864," 1923","NA"," 9878",915,"NA",995,"NA","NA","NA",679,"NA"," 12:30:04","18/03/2011",635,12,"Block 4:","NA"
729,780,773.25," 1923",1005," 34695",1417,1908,815.857142857,1969,974,563,987,1140," 12:30:04","18/03/2011",733.333333333,35,"Block 5:",588
885.333333333,"NA",1182.66666667," 1956","NA"," 13800",1392,"NA",1014,"NA","NA","NA","NA","NA"," 12:20:49","16/02/2011","NA",12,"Block 1:","NA"
"NA",1238.5,"NA"," 1956",915.5," 12529","NA",961,"NA",983,1221,1156,"NA",979.666666667," 12:20:49","16/02/2011","NA",12,"Block 2:","NA"
1060.75,1163,1101.8," 1956","NA"," 36905",836.333333333,938.333333333,935,905,1273,1036,1258,736," 12:20:49","16/02/2011",846,36,"Block 3:",1372
1016,"NA",907," 1956","NA"," 12912",918,"NA",874,"NA","NA","NA",700,"NA"," 12:20:49","16/02/2011",1449.5,12,"Block 4:","NA"
863.75,1109,1129," 1956",980," 38242",1072.33333333,"NA",968,1067.66666667,1129.33333333,1565,665.5,1247," 12:20:49","16/02/2011",1045.5,36,"Block 5:",1068.66666667
819.5,"NA",2654.5," 19562","NA"," 13151",1091.5,"NA",639,"NA","NA","NA",698.666666667,"NA"," 15:38:19","30/03/2011",642.5,12,"Block 1:","NA"
"NA","NA","NA"," 19562",765," 17384","NA",1249,"NA",937,2928.66666667,1440,"NA",631," 15:38:19","30/03/2011","NA",12,"Block 2:","NA"
