"Gender","Age","UGPG","Year","College","Pill1","Pill2","Pill3","Pill4","Pill5","Pill6","Cream1","Cream2","Cream3","Cream4","Cream5","Cream6","Inj1","Inj2","Inj3","Inj4","Inj5","Inj6","Acu1","Acu2","Acu3","Acu4","Acu5","Acu6","PillTot","CreamTot","InjTot","AcuTot"
"Female",18,"Undergrad",1,"Bus & Law",2,4,5,4,2,3,"NA","NA","NA","NA","NA","NA",1,3,1,5,5,5,1,1,1,1,1,1,20,0,20,6
"Female",48,"Postgraduate",1,"Arts",4,4,1,3,1,3,4,4,1,3,1,3,4,4,1,4,1,3,"NA","NA","NA","NA","NA","NA",16,16,17,0
"Male",21,"Postgraduate",4,"Bus & Law",1,2,4,4,2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",13,0,0,0
"Female",19,"Undergrad",1,"SEFS",4,4,4,4,4,4,2,2,3,2,3,3,5,5,5,5,5,5,4,4,4,4,4,4,24,15,30,24
"Female",19,"Undergrad",1,"Medicine & Health",3,3,3,4,2,2,5,4,5,4,4,4,5,5,5,5,5,5,4,3,4,4,2,2,17,26,30,19
"Female",18,"Undergrad",1,"SEFS",4,4,4,3,4,4,2,2,3,3,4,3,5,4,4,4,5,5,2,2,2,2,2,2,23,17,27,12
"Male",21,"Undergrad",4,"SEFS",4,4,4,4,4,4,2,3,2,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,24,16,23,24
"Female",20,"Undergrad",3,"Arts",5,5,2,5,4,4,4,4,1,3,4,4,5,5,2,5,5,5,4,3,1,3,4,2,25,20,27,17
"Female",19,"Undergrad",1,"SEFS",3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,18,18,18
"Female",18,"Undergrad",1,"Bus & Law",4,4,4,3,3,4,3,3,3,4,3,3,2,4,2,3,3,3,2,2,2,2,2,2,22,19,17,12
"Male",19,"Undergrad",1,"SEFS",4,4,2,4,3,4,3,4,3,3,3,3,5,5,4,5,5,4,4,4,4,4,4,4,21,19,28,24
"Female",19,"Undergrad",1,"SEFS",4,4,3,4,2,3,2,2,2,3,2,3,4,4,3,4,4,3,2,2,2,3,2,3,20,14,22,14
"Female",22,"Undergrad",1,"Arts",4,4,4,4,3,3,4,4,4,4,3,3,4,4,2,4,3,3,4,4,4,4,4,4,22,22,20,24
"Female",20,"Undergrad",3,"Arts",4,4,4,4,3,4,4,3,2,3,3,3,4,4,3,4,4,4,3,3,2,3,2,3,23,18,23,16
"Female",18,"Undergrad",1,"Medicine & Health",4,4,4,2,2,2,3,2,3,2,2,2,4,4,2,3,3,3,4,4,4,4,4,4,18,14,19,24
"Female",20,"Undergrad",2,"Arts",4,4,3,4,3,3,3,3,2,2,2,2,4,4,4,4,3,4,1,1,1,1,1,1,21,14,23,6
"Female",20,"Undergrad",3,"SEFS",4,4,4,4,3,4,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,23,12,24,12
"Female",19,"Undergrad",2,"Bus & Law",4,4,4,4,4,3,4,3,3,3,4,3,2,4,3,4,4,3,4,3,3,4,3,3,23,20,20,20
"Female",20,"Undergrad",3,"SEFS",4,4,4,4,4,4,2,3,2,2,3,2,4,4,3,4,4,4,5,4,5,4,4,4,24,14,23,26
"Female",18,"Undergrad",1,"Medicine & Health",4,4,3,2,4,4,"NA",2,2,2,2,3,4,4,3,4,4,3,4,4,4,4,4,4,21,11,22,24
"Female",23,"Postgraduate",1,"Bus & Law",5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,2,4,3,3,3,3,30,24,30,18
"Female",46,"Undergrad",2,"Arts",3,4,4,4,4,4,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,23,6,24,24
"Female",29,"Undergrad",3,"Arts",3,2,2,2,2,1,4,3,3,2,2,3,4,3,3,2,1,1,3,4,4,4,5,5,12,17,14,25
"Female",21,"Undergrad",2,"Arts",1,1,1,2,4,4,1,1,1,2,4,4,1,1,1,2,4,4,4,4,4,4,4,4,13,13,13,24
"Male",19,"Undergrad",1,"Arts",3,3,3,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,2,2,2,2,2,2,20,18,24,12
"Female",29,"Undergrad",2,"Bus & Law",5,4,2,4,4,4,4,4,2,4,4,4,5,4,1,4,4,4,2,1,1,1,1,1,23,22,22,7
"Female",19,"Undergrad",1,"Bus & Law",4,5,5,4,3,4,1,1,1,1,1,1,5,5,5,5,5,5,2,2,2,2,2,2,25,6,30,12
"Male",19,"Undergrad",2,"Arts",4,3,3,3,2,2,3,3,3,3,2,2,2,3,2,4,3,3,2,3,3,4,4,3,17,16,17,19
"Female",19,"Undergrad",2,"Medicine & Health",5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,3,3,3,3,3,29,29,29,19
"Female",19,"Undergrad",1,"SEFS",5,5,5,5,5,5,4,4,3,4,3,4,4,3,2,3,3,3,4,4,4,4,4,4,30,22,18,24
"Male",19,"Undergrad",1,"SEFS",1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,8,6,6,24
"Female",24,"Postgraduate",1,"Bus & Law",3,4,4,2,2,2,2,4,3,4,2,2,4,5,5,4,2,2,2,2,2,1,1,1,17,17,22,9
"Female",21,"Undergrad",4,"SEFS",2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,14,12,12,24
"Female",19,"Undergrad",1,"Arts",4,4,3,4,3,3,4,4,3,4,3,3,3,2,1,2,1,1,5,5,5,5,5,5,21,21,10,30
"Male",20,"Undergrad",2,"Arts",5,5,5,5,4,4,2,2,2,2,2,2,4,4,2,4,4,4,1,1,1,1,1,1,28,12,22,6
"Female",25,"Undergrad",1,"Medicine & Health",2,4,2,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,16,12,24,24
"Female",21,"Undergrad",5,"SEFS",4,4,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,22,24,20,24
"Female",18,"Undergrad",1,"SEFS",4,3,3,4,3,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,20,6,18,18
"Female",20,"Undergrad",2,"Bus & Law",4,2,3,4,4,4,3,2,3,4,3,4,5,5,5,5,5,5,4,4,4,5,4,4,21,19,30,25
"Female",19,"Undergrad",3,"Arts",4,4,4,4,4,4,3,2,1,2,2,2,4,5,5,5,5,5,3,2,1,1,1,2,24,12,29,10
"Female",22,"Undergrad",5,"SEFS",4,4,4,4,5,4,3,4,3,4,4,4,3,3,3,3,4,3,2,2,2,1,1,1,25,22,19,9
"Female",20,"Undergrad",2,"Medicine & Health",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,30,30,30,18
"Male",47,"Undergrad",2,"Arts",4,4,4,,3,4,5,4,4,4,4,4,4,4,4,4,4,4,3,,2,2,3,2,19,25,24,12
"Female",25,"Undergrad",4,"Medicine & Health",4,4,3,4,4,4,2,4,2,4,3,2,5,5,5,5,5,5,2,2,3,2,2,2,23,17,30,13
"Female",46,"Undergrad",2,"Bus & Law",4,4,4,5,4,4,2,2,1,2,2,2,2,5,2,5,5,5,2,2,2,2,2,2,25,11,24,12
"Female",34,"Undergrad",1,"Arts",4,4,3,4,4,4,2,2,2,1,1,2,5,5,4,5,5,5,4,4,4,4,4,4,23,10,29,24
"Female",21,"Undergrad",3,"Medicine & Health",5,4,5,4,5,4,5,3,4,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,27,24,30,30
"Female",28,"Postgraduate",5,"Arts",3,4,2,4,4,3,3,4,4,4,4,3,3,4,2,4,4,3,4,4,4,4,4,4,20,22,20,24
"Male",19,"Undergrad",2,"Bus & Law",1,3,1,4,2,3,1,3,1,4,2,3,1,3,1,4,2,3,1,3,1,4,2,3,14,14,14,14
"Female",21,"Undergrad",3,"SEFS",5,3,3,3,4,4,4,3,3,4,4,4,5,3,3,4,4,4,5,3,3,4,4,4,22,22,23,23
